spam_label,text_clean,thread_id,posted_comment,spam_label_source
NOT_SPAM,"Go until jurong point, crazy.. Available only in bugis n great world la e buffet... Cine there got amore wat...",1,"Go until jurong point, crazy.. Available only in bugis n great world la e buffet... Cine there got amore wat...",NOT_SPAM
NOT_SPAM,Ok lar... Joking wif u oni...,2,Ok lar... Joking wif u oni...,NOT_SPAM
SPAM,Free entry in 2 a wkly comp to win FA Cup final tkts 21st May 2005. Text FA to 87121 to receive entry question std txt rate T C's apply 08452810075over18's,3,Free entry in 2 a wkly comp to win FA Cup final tkts 21st May 2005. Text FA to 87121 to receive entry question(std txt rate)T&C's apply 08452810075over18's,SPAM
NOT_SPAM,U dun say so early hor... U c already then say...,4,U dun say so early hor... U c already then say...,NOT_SPAM
NOT_SPAM,"Nah I do not think he goes to usf, he lives around here though",5,"Nah I don't think he goes to usf, he lives around here though",NOT_SPAM
SPAM,"FreeMsg Hey there darling it is been 3 week's now and no word back! I would like some fun you up for it still? Tb ok! XxX std chgs to send, 1.50 to rcv",6,"FreeMsg Hey there darling it's been 3 week's now and no word back! I'd like some fun you up for it still? Tb ok! XxX std chgs to send, £1.50 to rcv",SPAM
NOT_SPAM,Even my brother is not like to speak with me. They treat me like aids patent.,7,Even my brother is not like to speak with me. They treat me like aids patent.,NOT_SPAM
NOT_SPAM,As per your request 'Melle Melle Oru Minnaminunginte Nurungu Vettam ' has been set as your callertune for all Callers. Press 9 to copy your friends Callertune,8,As per your request 'Melle Melle (Oru Minnaminunginte Nurungu Vettam)' has been set as your callertune for all Callers. Press *9 to copy your friends Callertune,NOT_SPAM
SPAM,WINNER!! As a valued network customer you have been selected to receivea 900 prize reward! To claim call 09061701461. Claim code KL341. Valid 12 hours only.,9,WINNER!! As a valued network customer you have been selected to receivea £900 prize reward! To claim call 09061701461. Claim code KL341. Valid 12 hours only.,SPAM
SPAM,Had your mobile 11 months or more? U R entitled to Update to the latest colour mobiles with camera for Free! Call The Mobile Update Co FREE on 08002986030,10,Had your mobile 11 months or more? U R entitled to Update to the latest colour mobiles with camera for Free! Call The Mobile Update Co FREE on 08002986030,SPAM
NOT_SPAM,"I am gonna be home soon and i do not want to talk about this stuff anymore tonight, k? I have cried enough today.",11,"I'm gonna be home soon and i don't want to talk about this stuff anymore tonight, k? I've cried enough today.",NOT_SPAM
SPAM,"SIX chances to win CASH! From 100 to 20,000 pounds txt CSH11 and send to 87575. Cost 150p day, 6days, 16 TsandCs apply Reply HL 4 info",12,"SIX chances to win CASH! From 100 to 20,000 pounds txt> CSH11 and send to 87575. Cost 150p/day, 6days, 16+ TsandCs apply Reply HL 4 info",SPAM
SPAM,"URGENT! You have won a 1 week FREE membership in our 100,000 Prize Jackpot! Txt the word CLAIM to No 81010 T C LCCLTD POBOX 4403LDNW1A7RW18",13,"URGENT! You have won a 1 week FREE membership in our £100,000 Prize Jackpot! Txt the word: CLAIM to No: 81010 T&C www.dbuk.net LCCLTD POBOX 4403LDNW1A7RW18",SPAM
NOT_SPAM,I have been searching for the right words to thank you for this breather. I promise i wont take your help for granted and will fulfil my promise. You have been wonderful and a blessing at all times.,14,I've been searching for the right words to thank you for this breather. I promise i wont take your help for granted and will fulfil my promise. You have been wonderful and a blessing at all times.,NOT_SPAM
NOT_SPAM,I HAVE A DATE ON SUNDAY WITH WILL!!,15,I HAVE A DATE ON SUNDAY WITH WILL!!,NOT_SPAM
SPAM,"XXXMobileMovieClub To use your credit, click the WAP link in the next txt message or click here wap. xxxmobilemovieclub.com?n QJKGIGHJJGCBL",16,"XXXMobileMovieClub: To use your credit, click the WAP link in the next txt message or click here>> http://wap. xxxmobilemovieclub.com?n=QJKGIGHJJGCBL",SPAM
NOT_SPAM,Oh k...i'm watching here,17,Oh k...i'm watching here:),NOT_SPAM
NOT_SPAM,Eh u remember how 2 spell his name... Yes i did. He v naughty make until i v wet.,18,Eh u remember how 2 spell his name... Yes i did. He v naughty make until i v wet.,NOT_SPAM
NOT_SPAM,Fine if thats the way u feel. Thats the way its gota b,19,Fine if thats the way u feel. Thats the way its gota b,NOT_SPAM
SPAM,"England v Macedonia dont miss the goals team news. Txt ur national team to 87077 eg ENGLAND to 87077 Try WALES, SCOTLAND 4txt u1.20 POBOXox36504W45WQ 16",20,"England v Macedonia - dont miss the goals/team news. Txt ur national team to 87077 eg ENGLAND to 87077 Try:WALES, SCOTLAND 4txt/ú1.20 POBOXox36504W45WQ 16+",SPAM
NOT_SPAM,Is that seriously how you spell his name?,21,Is that seriously how you spell his name?,NOT_SPAM
NOT_SPAM,Im going to try for 2 months ha ha only joking,22,I‘m going to try for 2 months ha ha only joking,NOT_SPAM
NOT_SPAM,So u pay first lar... Then when is da stock comin...,23,So ü pay first lar... Then when is da stock comin...,NOT_SPAM
NOT_SPAM,Aft i finish my lunch then i go str down lor. Ard 3 smth lor. U finish ur lunch already?,24,Aft i finish my lunch then i go str down lor. Ard 3 smth lor. U finish ur lunch already?,NOT_SPAM
NOT_SPAM,Ffffffffff. Alright no way I can meet up with you sooner?,25,Ffffffffff. Alright no way I can meet up with you sooner?,NOT_SPAM
NOT_SPAM,Just forced myself to eat a slice. I am really not hungry tho. This sucks. Mark is getting worried. He knows I am sick when I turn down pizza. Lol,26,Just forced myself to eat a slice. I'm really not hungry tho. This sucks. Mark is getting worried. He knows I'm sick when I turn down pizza. Lol,NOT_SPAM
NOT_SPAM,Lol your always so convincing.,27,Lol your always so convincing.,NOT_SPAM
NOT_SPAM,Did you catch the bus ? Are you frying an egg ? Did you make a tea? Are you eating your mom's left over dinner ? Do you feel my Love ?,28,Did you catch the bus ? Are you frying an egg ? Did you make a tea? Are you eating your mom's left over dinner ? Do you feel my Love ?,NOT_SPAM
NOT_SPAM,"I am back we are packing the car now, I will let you know if there is room",29,"I'm back &amp; we're packing the car now, I'll let you know if there's room",NOT_SPAM
NOT_SPAM,Ahhh. Work. I vaguely remember that! What does it feel like? Lol,30,Ahhh. Work. I vaguely remember that! What does it feel like? Lol,NOT_SPAM
NOT_SPAM,"Wait that is still not all that clear, were you not sure about me being sarcastic or that that is why x does not want to live with us",31,"Wait that's still not all that clear, were you not sure about me being sarcastic or that that's why x doesn't want to live with us",NOT_SPAM
NOT_SPAM,Yeah he got in at 2 and was v apologetic. n had fallen out and she was actin like spoilt child and he got caught up in that. Till 2! But we will not go there! Not doing too badly cheers. You?,32,Yeah he got in at 2 and was v apologetic. n had fallen out and she was actin like spoilt child and he got caught up in that. Till 2! But we won't go there! Not doing too badly cheers. You? ,NOT_SPAM
NOT_SPAM,K tell me anything about you.,33,K tell me anything about you.,NOT_SPAM
